YEAR,STATE DESCRIPTION,STATE _CODE_x,NAICS_CODE_x,INDUSTRY,ENTERPRISE_EMPLOYMENT_SIZE_x,NUMBER_OF_FILMS_SMALL,NUMBER_OF_ESTABLISHMENTS_SMALL,EMPLOYMENT_SMALL,ANNUAL_PAYROLL _SMALL,SALARY_EMP_SMALL,STATE _CODE_y,NAICS_CODE_y,ENTERPRISE_EMPLOYMENT_SIZE_y,NUMBER_OF_FILMS_LARGE,NUMBER_OF_ESTABLISHMENTS_LARGE,EMPLOYMENT_LARGE,ANNUAL_PAYROLL _LARGE,SALARY_EMP_LARGE
2012,Hawaii,HI,44-45,Retail trade,08:  <500,2679,3301,25892,729314000.0,28167.5421,HI,44-45,09:  500+,193.0,1330.0,41827.0,1117058000.0,26706.62491
2012,Hawaii,HI,48-49,Transportation and warehousing,08:  <500,600,682,10628,382868000.0,36024.46368,HI,48-49,09:  500+,70.0,163.0,15950.0,770860000.0,48329.78056
2012,Idaho,ID,11,"Agriculture, forestry, fishing and hunting",08:  <500,436,436,3176,108327000.0,34107.99748,ID,11,09:  500+,5.0,7.0,98.0,4146000.0,42306.12245
2012,Idaho,ID,21,"Mining, quarrying, and oil and gas extraction",08:  <500,108,110,1600,106004000.0,66252.5,,,,,,,,
2012,Idaho,ID,22,Utilities,08:  <500,105,118,744,38865000.0,52237.90323,,,,,,,,
2012,Idaho,ID,23,Construction,08:  <500,5605,5622,25981,1041498000.0,40086.909660000005,ID,23,09:  500+,22.0,31.0,1125.0,85801000.0,76267.55556000001
2012,Idaho,ID,42,Wholesale trade,08:  <500,1389,1557,15420,641303000.0,41589.04021,ID,42,09:  500+,208.0,476.0,10843.0,592661000.0,54658.39712
2012,Idaho,ID,51,Information,08:  <500,369,401,3978,165548000.0,41615.88738,ID,51,09:  500+,67.0,240.0,7596.0,350877000.0,46192.33807
2012,Idaho,ID,52,Finance and insurance,08:  <500,1389,1747,8802,386785000.0,43942.8539,ID,52,09:  500+,140.0,1083.0,12589.0,643980000.0,51154.18222
2012,Idaho,ID,53,Real estate and rental and leasing,08:  <500,1754,1884,5373,153176000.0,28508.468269999998,ID,53,09:  500+,41.0,133.0,868.0,29194000.0,33633.64055
