YEAR,STATE DESCRIPTION,STATE _CODE,NAICS_CODE,INDUSTRY,ENTERPRISE_EMPLOYMENT_SIZE,NUMBER_OF_FILMS_SMALL,NUMBER_OF_ESTABLISHMENTS_SMALL,EMPLOYMENT_SMALL,ANNUAL_PAYROLL _SMALL,SALARY_EMP_SMALL
2012,Maryland,MD,31-33,Manufacturing,08:  <500,2718,2774,45283,2139453000,47246.27344
2012,Maryland,MD,44-45,Retail trade,08:  <500,10954,12049,95942,2988678000,31150.88283
2012,Maryland,MD,48-49,Transportation and warehousing,08:  <500,2761,2827,25175,916282000,36396.50447
2012,Massachusetts,MA,11,"Agriculture, forestry, fishing and hunting",08:  <500,349,349,1148,37485000,32652.43902
2012,Massachusetts,MA,21,"Mining, quarrying, and oil and gas extraction",08:  <500,64,75,683,41620000,60937.04246
2012,Massachusetts,MA,22,Utilities,08:  <500,71,78,1230,165193000,134303.252
2012,Massachusetts,MA,23,Construction,08:  <500,16554,16577,94190,6091445000,64671.88661
2012,Massachusetts,MA,42,Wholesale trade,08:  <500,6515,6786,77365,5368386000,69390.37032
2012,Massachusetts,MA,51,Information,08:  <500,1968,2010,31352,2722725000,86843.74203
2012,Massachusetts,MA,52,Finance and insurance,08:  <500,4917,6315,58108,5586789000,96144.9198
2012,Massachusetts,MA,53,Real estate and rental and leasing,08:  <500,4833,5289,29366,1597352000,54394.60601
2012,Massachusetts,MA,54,"Professional, scientific, and technical services",08:  <500,19756,19972,145164,12408829000,85481.44857
2012,Massachusetts,MA,55,Management of companies and enterprises,08:  <500,433,445,10757,850110000,79028.53956
2012,Massachusetts,MA,56,Administrative and support and waste management and remediation services,08:  <500,8680,8777,89214,3730536000,41815.58948
2012,Massachusetts,MA,61,Educational services,08:  <500,2562,2689,56193,1992199000,35452.79661
2012,Massachusetts,MA,62,Health care and social assistance,08:  <500,12627,15102,215245,9135913000,42444.2519
2012,Massachusetts,MA,71,"Arts, entertainment, and recreation",08:  <500,2818,2958,36925,1113337000,30151.3067
2012,Massachusetts,MA,72,Accommodation and food services,08:  <500,13178,14205,174740,3250610000,18602.55236
