YEAR,STATE DESCRIPTION,STATE _CODE,NAICS_CODE,INDUSTRY,ENTERPRISE_EMPLOYMENT_SIZE,NUMBER_OF_FILMS_SMALL,NUMBER_OF_ESTABLISHMENTS_SMALL,EMPLOYMENT_SMALL,ANNUAL_PAYROLL _SMALL,SALARY_EMP_SMALL
2013,Texas,TX,53,Real estate and rental and leasing,08:  <500,19323,21420,110769,5110079000,46132.75375
2013,Texas,TX,54,"Professional, scientific, and technical services",08:  <500,57781,59339,376994,25925033000,68767.76023
2013,Texas,TX,55,Management of companies and enterprises,08:  <500,1534,1602,30491,2943458000,96535.3055
2013,Texas,TX,56,Administrative and support and waste management and remediation services,08:  <500,21404,21998,311879,11059419000,35460.60812
2013,Texas,TX,61,Educational services,08:  <500,5584,5873,91587,2663510000,29081.74741
2013,Texas,TX,62,Health care and social assistance,08:  <500,50305,54738,652108,24746440000,37948.37665
2013,Texas,TX,71,"Arts, entertainment, and recreation",08:  <500,5732,5893,72914,2064502000,28314.20578
2013,Texas,TX,72,Accommodation and food services,08:  <500,33979,38422,560550,8641030000,15415.27072
2013,Texas,TX,81,Other services (except public administration),08:  <500,44319,46376,356100,9159206000,25720.88177
2013,Texas,TX,99,Industries not classified,08:  <500,797,797,819,21342000,26058.60806
2013,Texas,TX,--,Total,08:  <500,405945,439409,4407131,1.84198E+11,41795.43222
2013,Texas,TX,31-33,Manufacturing,08:  <500,16520,16927,336496,15591420000,46334.63696
2013,Texas,TX,44-45,Retail trade,08:  <500,44292,50092,371004,12037419000,32445.5235
2013,Texas,TX,48-49,Transportation and warehousing,08:  <500,12835,13625,137630,6259572000,45481.15963
2013,Utah,UT,11,"Agriculture, forestry, fishing and hunting",08:  <500,79,79,511,25977000,50835.61644
2013,Utah,UT,21,"Mining, quarrying, and oil and gas extraction",08:  <500,397,398,3930,267704000,68118.06616
2013,Utah,UT,22,Utilities,08:  <500,72,85,1076,96415000,89605.01859
2013,Utah,UT,23,Construction,08:  <500,8262,8284,54684,2370635000,43351.52878
2013,Utah,UT,42,Wholesale trade,08:  <500,2806,2963,31723,1556309000,49059.32604
2013,Utah,UT,51,Information,08:  <500,849,872,12777,843183000,65992.2517
2013,Utah,UT,52,Finance and insurance,08:  <500,2971,3354,20206,1165861000,57698.75285
2013,Utah,UT,53,Real estate and rental and leasing,08:  <500,4073,4238,13265,486975000,36711.27026
2013,Utah,UT,54,"Professional, scientific, and technical services",08:  <500,8685,8824,50342,2802033000,55659.94597
2013,Utah,UT,55,Management of companies and enterprises,08:  <500,219,219,3751,201276000,53659.29086
2013,Utah,UT,56,Administrative and support and waste management and remediation services,08:  <500,3585,3608,33346,1066130000,31971.75073
2013,Utah,UT,61,Educational services,08:  <500,959,969,14406,384584000,26696.09885
2013,Utah,UT,62,Health care and social assistance,08:  <500,6233,6706,62979,2153412000,34192.54037
2013,Utah,UT,71,"Arts, entertainment, and recreation",08:  <500,921,939,11230,231623000,20625.37845
2013,Utah,UT,72,Accommodation and food services,08:  <500,3637,4155,62374,877481000,14068.0572
2013,Utah,UT,81,Other services (except public administration),08:  <500,4173,4431,25179,707348000,28092.77573
2013,Utah,UT,--,Total,08:  <500,57948,61313,520366,19411043000,37302.6735
2013,Utah,UT,31-33,Manufacturing,08:  <500,2831,2859,48814,2078318000,42576.2691
2013,Utah,UT,44-45,Retail trade,08:  <500,5654,6381,53354,1491290000,27950.85654
2013,Utah,UT,48-49,Transportation and warehousing,08:  <500,1861,1886,16340,603212000,36916.27907
2013,Vermont,VT,11,"Agriculture, forestry, fishing and hunting",08:  <500,140,140,499,17147000,34362.72545
2013,Vermont,VT,21,"Mining, quarrying, and oil and gas extraction",08:  <500,40,45,235,15222000,64774.46809
2013,Vermont,VT,22,Utilities,08:  <500,18,26,430,35620000,82837.2093
2013,Vermont,VT,23,Construction,08:  <500,2674,2679,11820,590483000,49956.26058
2013,Vermont,VT,42,Wholesale trade,08:  <500,615,656,8054,396894000,49279.11597
2013,Vermont,VT,51,Information,08:  <500,324,345,3526,170859000,48456.89166
2013,Vermont,VT,52,Finance and insurance,08:  <500,424,641,5410,322199000,59556.19224
2013,Vermont,VT,53,Real estate and rental and leasing,08:  <500,644,678,2496,91022000,36467.14744
2013,Vermont,VT,54,"Professional, scientific, and technical services",08:  <500,1983,2015,10062,588609000,58498.21109
2013,Vermont,VT,55,Management of companies and enterprises,08:  <500,43,43,773,45351000,58668.82277
2013,Vermont,VT,56,Administrative and support and waste management and remediation services,08:  <500,974,983,4795,162595000,33909.2805
2013,Vermont,VT,61,Educational services,08:  <500,335,354,7550,230655000,30550.33113
2013,Vermont,VT,62,Health care and social assistance,08:  <500,1656,1889,23887,808966000,33866.37083
2013,Vermont,VT,71,"Arts, entertainment, and recreation",08:  <500,434,449,4220,98232000,23277.72512
2013,Vermont,VT,72,Accommodation and food services,08:  <500,1693,1782,20787,372450000,17917.44841
2013,Vermont,VT,81,Other services (except public administration),08:  <500,1912,1980,8899,240443000,27019.10327
2013,Vermont,VT,99,Industries not classified,08:  <500,47,47,41,991000,24170.73171
2013,Vermont,VT,--,Total,08:  <500,17454,18842,155444,5692802000,36622.8481
2013,Vermont,VT,31-33,Manufacturing,08:  <500,894,924,16341,720176000,44071.72144
2013,Vermont,VT,44-45,Retail trade,08:  <500,2323,2746,22189,662442000,29854.52251
2013,Vermont,VT,48-49,Transportation and warehousing,08:  <500,409,420,3430,122446000,35698.54227
2013,Virginia,VA,11,"Agriculture, forestry, fishing and hunting",08:  <500,649,649,3283,111016000,33815.41273
2013,Virginia,VA,21,"Mining, quarrying, and oil and gas extraction",08:  <500,154,179,2934,165641000,56455.69189
2013,Virginia,VA,22,Utilities,08:  <500,63,95,2205,169736000,76977.77778
2013,Virginia,VA,23,Construction,08:  <500,18727,18836,140967,6464473000,45858.05898
2013,Virginia,VA,42,Wholesale trade,08:  <500,5245,5760,57899,3106938000,53661.3413
2013,Virginia,VA,51,Information,08:  <500,1735,1859,25948,1960345000,75548.98258
2013,Virginia,VA,52,Finance and insurance,08:  <500,5250,6460,40296,2729382000,67733.32341
2013,Virginia,VA,53,Real estate and rental and leasing,08:  <500,6231,7101,32853,1499657000,45647.49034
2013,Virginia,VA,54,"Professional, scientific, and technical services",08:  <500,24810,25580,213411,16939578000,79375.37428
2013,Virginia,VA,55,Management of companies and enterprises,08:  <500,448,465,8737,648403000,74213.46
2013,Virginia,VA,56,Administrative and support and waste management and remediation services,08:  <500,8672,8981,106619,3879690000,36388.3548
2013,Virginia,VA,61,Educational services,08:  <500,2600,2676,42746,1369540000,32039.02119
2013,Virginia,VA,62,Health care and social assistance,08:  <500,14071,15905,192655,8194799000,42536.13454
2013,Virginia,VA,71,"Arts, entertainment, and recreation",08:  <500,2529,2595,31337,700370000,22349.61866
2013,Virginia,VA,72,Accommodation and food services,08:  <500,12175,13350,177975,2830641000,15904.71134
2013,Virginia,VA,81,Other services (except public administration),08:  <500,19573,20332,141338,4782852000,33839.81661
2013,Virginia,VA,--,Total,08:  <500,145450,156477,1467589,64364585000,43857.36402
2013,Virginia,VA,31-33,Manufacturing,08:  <500,4186,4349,82117,3513257000,42783.55274
2013,Virginia,VA,44-45,Retail trade,08:  <500,15188,17100,130270,3967672000,30457.29638
2013,Virginia,VA,48-49,Transportation and warehousing,08:  <500,3760,3895,33719,1323097000,39238.91574
2013,Washington,WA,11,"Agriculture, forestry, fishing and hunting",08:  <500,1376,1383,10623,471037000,44341.2407
2013,Washington,WA,21,"Mining, quarrying, and oil and gas extraction",08:  <500,117,133,1045,67580000,64669.85646
2013,Washington,WA,22,Utilities,08:  <500,180,199,1501,105619000,70365.75616
2013,Washington,WA,23,Construction,08:  <500,19610,19681,118825,6583251000,55402.91185
2013,Washington,WA,42,Wholesale trade,08:  <500,6995,7670,76074,4271686000,56151.72069
2013,Washington,WA,51,Information,08:  <500,1864,1929,24861,2073796000,83415.63091
2013,Washington,WA,52,Finance and insurance,08:  <500,4640,5521,35640,2346254000,65832.04265
2013,Washington,WA,53,Real estate and rental and leasing,08:  <500,7469,8274,32840,1337667000,40732.85627
2013,Washington,WA,54,"Professional, scientific, and technical services",08:  <500,18675,19022,116816,8276511000,70850.83379
2013,Washington,WA,55,Management of companies and enterprises,08:  <500,443,455,8649,572995000,66249.85547
2013,Washington,WA,56,Administrative and support and waste management and remediation services,08:  <500,7866,7980,63513,2318777000,36508.69901
2013,Washington,WA,61,Educational services,08:  <500,2418,2506,31391,876929000,27935.6822
2013,Washington,WA,62,Health care and social assistance,08:  <500,16048,17722,183017,7227954000,39493.34761
2013,Washington,WA,71,"Arts, entertainment, and recreation",08:  <500,2569,2644,39633,866809000,21870.89042
2013,Washington,WA,72,Accommodation and food services,08:  <500,12942,14259,162622,3044301000,18720.10552
2013,Washington,WA,81,Other services (except public administration),08:  <500,15012,15749,93727,2598393000,27722.99337
2013,Washington,WA,--,Total,08:  <500,141839,151679,1263615,53571690000,42395.57935
2013,Washington,WA,31-33,Manufacturing,08:  <500,6233,6349,107234,5184606000,48348.52752
2013,Washington,WA,44-45,Retail trade,08:  <500,13977,15718,122512,3927823000,32060.72058
2013,Washington,WA,48-49,Transportation and warehousing,08:  <500,3923,4110,32767,1410640000,43050.63021
2013,West Virginia,West VA,11,"Agriculture, forestry, fishing and hunting",08:  <500,221,221,748,23392000,31272.72727
2013,West Virginia,West VA,21,"Mining, quarrying, and oil and gas extraction",08:  <500,432,443,8158,546852000,67032.60603
2013,West Virginia,West VA,22,Utilities,08:  <500,45,77,939,59856000,63744.40895
2013,West Virginia,West VA,23,Construction,08:  <500,3216,3231,23812,1112604000,46724.50865
2013,West Virginia,West VA,42,Wholesale trade,08:  <500,1003,1115,11932,523631000,43884.59604
2013,West Virginia,West VA,51,Information,08:  <500,209,231,2550,80750000,31666.66667
2013,West Virginia,West VA,52,Finance and insurance,08:  <500,1036,1352,9026,356402000,39486.15112
2013,West Virginia,West VA,53,Real estate and rental and leasing,08:  <500,1087,1156,4497,153261000,34080.72048
2013,West Virginia,West VA,54,"Professional, scientific, and technical services",08:  <500,2525,2634,19295,877781000,45492.66649
2013,West Virginia,West VA,55,Management of companies and enterprises,08:  <500,99,100,1459,105869000,72562.71419
2013,West Virginia,West VA,56,Administrative and support and waste management and remediation services,08:  <500,1173,1202,14408,465318000,32295.80788
2013,West Virginia,West VA,61,Educational services,08:  <500,247,253,4727,98413000,20819.33573
2013,West Virginia,West VA,62,Health care and social assistance,08:  <500,3240,3876,59088,1870473000,31655.7169
2013,West Virginia,West VA,71,"Arts, entertainment, and recreation",08:  <500,658,739,6577,103640000,15757.94435
2013,West Virginia,West VA,72,Accommodation and food services,08:  <500,2563,3017,40903,532993000,13030.6579
2013,West Virginia,West VA,81,Other services (except public administration),08:  <500,4081,4220,22914,513191000,22396.39522
2013,West Virginia,West VA,99,Industries not classified,08:  <500,52,52,68,1060000,15588.23529
2013,West Virginia,West VA,--,Total,08:  <500,26960,29874,290950,9284856000,31912.20485
2013,West Virginia,West VA,31-33,Manufacturing,08:  <500,992,1040,19034,745528000,39168.22528
2013,West Virginia,West VA,44-45,Retail trade,08:  <500,3373,3936,33545,861107000,25670.2042
2013,West Virginia,West VA,48-49,Transportation and warehousing,08:  <500,957,979,7270,252735000,34764.09904
2013,Wisconsin,WI,11,"Agriculture, forestry, fishing and hunting",08:  <500,527,528,2410,97246000,40351.03734
2013,Wisconsin,WI,21,"Mining, quarrying, and oil and gas extraction",08:  <500,125,136,1365,105784000,77497.4359
2013,Wisconsin,WI,22,Utilities,08:  <500,50,77,1065,64393000,60462.9108
2013,Wisconsin,WI,23,Construction,08:  <500,13167,13258,74083,4304747000,58107.0826
2013,Wisconsin,WI,42,Wholesale trade,08:  <500,5203,5781,72649,3796258000,52254.78671
2013,Wisconsin,WI,51,Information,08:  <500,934,1057,13884,677546000,48800.48977
2013,Wisconsin,WI,52,Finance and insurance,08:  <500,4415,5916,44535,2345065000,52656.67453
2013,Wisconsin,WI,53,Real estate and rental and leasing,08:  <500,3603,4065,20236,684546000,33828.12809
2013,Wisconsin,WI,54,"Professional, scientific, and technical services",08:  <500,10222,10591,72021,4112642000,57103.37263
2013,Wisconsin,WI,55,Management of companies and enterprises,08:  <500,432,452,8686,547138000,62990.78978
2013,Wisconsin,WI,56,Administrative and support and waste management and remediation services,08:  <500,5428,5576,58553,1699164000,29019.24752
2013,Wisconsin,WI,61,Educational services,08:  <500,1406,1444,22287,536322000,24064.34244
2013,Wisconsin,WI,62,Health care and social assistance,08:  <500,9750,11847,167603,5765994000,34402.68969
2013,Wisconsin,WI,71,"Arts, entertainment, and recreation",08:  <500,2527,2607,31711,620773000,19575.95156
2013,Wisconsin,WI,72,Accommodation and food services,08:  <500,11468,12473,156481,2030944000,12978.85366
2013,Wisconsin,WI,81,Other services (except public administration),08:  <500,13531,14173,94969,2299769000,24215.9968
2013,Wisconsin,WI,--,Total,08:  <500,105586,116402,1216148,44017454000,36194.15893
2013,Wisconsin,WI,31-33,Manufacturing,08:  <500,7353,7747,205710,9483723000,46102.39172
2013,Wisconsin,WI,44-45,Retail trade,08:  <500,11880,13919,124072,3253336000,26221.35534
2013,Wisconsin,WI,48-49,Transportation and warehousing,08:  <500,4312,4484,43590,1588310000,36437.48566
2013,Wyoming,WY,11,"Agriculture, forestry, fishing and hunting",08:  <500,87,87,210,5966000,28409.52381
2013,Wyoming,WY,21,"Mining, quarrying, and oil and gas extraction",08:  <500,600,618,6778,468495000,69119.94689
2013,Wyoming,WY,22,Utilities,08:  <500,33,49,577,38133000,66088.38821
2013,Wyoming,WY,23,Construction,08:  <500,2604,2620,15563,798200000,51288.31202
2013,Wyoming,WY,42,Wholesale trade,08:  <500,527,594,4755,276118000,58068.98002
2013,Wyoming,WY,51,Information,08:  <500,191,225,2663,101681000,38182.87646
2013,Wyoming,WY,52,Finance and insurance,08:  <500,571,724,4275,207181000,48463.39181
2013,Wyoming,WY,53,Real estate and rental and leasing,08:  <500,930,993,3091,117537000,38025.55807
2013,Wyoming,WY,54,"Professional, scientific, and technical services",08:  <500,2054,2096,8626,474328000,54988.17528
2013,Wyoming,WY,55,Management of companies and enterprises,08:  <500,47,48,459,37075000,80773.42048
2013,Wyoming,WY,56,Administrative and support and waste management and remediation services,08:  <500,890,900,4423,144619000,32697.03821
2013,Wyoming,WY,61,Educational services,08:  <500,156,165,1891,46774000,24735.06081
2013,Wyoming,WY,62,Health care and social assistance,08:  <500,1654,1795,21051,825900000,39233.29058
2013,Wyoming,WY,71,"Arts, entertainment, and recreation",08:  <500,419,423,2995,72032000,24050.75125
2013,Wyoming,WY,72,Accommodation and food services,08:  <500,1527,1680,22668,391077000,17252.38221
2013,Wyoming,WY,81,Other services (except public administration),08:  <500,1704,1739,7692,222094000,28873.37493
2013,Wyoming,WY,99,Industries not classified,08:  <500,51,51,55,2059000,37436.36364
2013,Wyoming,WY,--,Total,08:  <500,16992,18099,132085,5126901000,38815.16448
2013,Wyoming,WY,31-33,Manufacturing,08:  <500,483,490,4806,232702000,48419.05951
2013,Wyoming,WY,44-45,Retail trade,08:  <500,1831,2045,14581,429171000,29433.57794
2013,Wyoming,WY,48-49,Transportation and warehousing,08:  <500,733,757,4926,235759000,47860.12992
2014,Alabama,AL,11,"Agriculture, forestry, fishing and hunting",08:  <500,772,778,5779,211936000,36673.47292
2014,Alabama,AL,21,"Mining, quarrying, and oil and gas extraction",08:  <500,141,147,2521,140741000,55827.44942
2014,Alabama,AL,22,Utilities,08:  <500,93,131,2163,138933000,64231.62275
2014,Alabama,AL,23,Construction,08:  <500,7067,7105,63503,2829191000,44552.08415
2014,Alabama,AL,42,Wholesale trade,08:  <500,3725,4159,43839,2169055000,49477.74812
2014,Alabama,AL,51,Information,08:  <500,606,650,8962,433234000,48341.21848
2014,Alabama,AL,52,Finance and insurance,08:  <500,2909,4026,24968,1228680000,49210.18904
2014,Alabama,AL,53,Real estate and rental and leasing,08:  <500,2831,3293,15899,593532000,37331.40449
2014,Alabama,AL,54,"Professional, scientific, and technical services",08:  <500,8051,8245,57438,3488168000,60729.2733
2014,Alabama,AL,55,Management of companies and enterprises,08:  <500,257,269,3724,229828000,61715.35983
2014,Alabama,AL,56,Administrative and support and waste management and remediation services,08:  <500,3342,3431,44767,1312031000,29307.99473
2014,Alabama,AL,61,Educational services,08:  <500,751,779,14314,357999000,25010.40939
2014,Alabama,AL,62,Health care and social assistance,08:  <500,7820,8830,113630,4855347000,42729.44645
2014,Alabama,AL,71,"Arts, entertainment, and recreation",08:  <500,1008,1033,11805,234971000,19904.36256
2014,Alabama,AL,72,Accommodation and food services,08:  <500,5531,6299,93444,1302080000,13934.335
2014,Alabama,AL,81,Other services (except public administration),08:  <500,10019,10352,68766,1554811000,22610.17072
2014,Alabama,AL,--,Total,08:  <500,70714,77391,772214,28016107000,36280.23708
2014,Alabama,AL,31-33,Manufacturing,08:  <500,3364,3440,84071,3492067000,41537.11744
2014,Alabama,AL,44-45,Retail trade,08:  <500,10560,11968,88453,2543017000,28749.92369
2014,Alabama,AL,48-49,Transportation and warehousing,08:  <500,2218,2292,23973,897184000,37424.76953
2014,Alaska,AK,11,"Agriculture, forestry, fishing and hunting",08:  <500,437,437,745,46240000,62067.11409
2014,Alaska,AK,21,"Mining, quarrying, and oil and gas extraction",08:  <500,120,121,2133,274314000,128604.782
2014,Alaska,AK,22,Utilities,08:  <500,58,91,1795,163060000,90841.22563
2014,Alaska,AK,23,Construction,08:  <500,2384,2405,13300,1154400000,86796.99248
2014,Alaska,AK,42,Wholesale trade,08:  <500,428,490,5130,289652000,56462.37817
2014,Alaska,AK,51,Information,08:  <500,178,230,2562,111894000,43674.47307
2014,Alaska,AK,52,Finance and insurance,08:  <500,373,464,3550,213782000,60220.28169
2014,Alaska,AK,53,Real estate and rental and leasing,08:  <500,768,836,3515,145102000,41280.79659
2014,Alaska,AK,54,"Professional, scientific, and technical services",08:  <500,1599,1650,10989,777555000,70757.57576
2014,Alaska,AK,55,Management of companies and enterprises,08:  <500,74,80,1531,102242000,66781.18877
2014,Alaska,AK,56,Administrative and support and waste management and remediation services,08:  <500,904,944,7311,299885000,41018.32855
2014,Alaska,AK,61,Educational services,08:  <500,218,247,2552,68760000,26943.57367
2014,Alaska,AK,62,Health care and social assistance,08:  <500,1975,2155,28069,1486646000,52963.98162
2014,Alaska,AK,71,"Arts, entertainment, and recreation",08:  <500,509,526,3217,81555000,25351.25894
2014,Alaska,AK,72,Accommodation and food services,08:  <500,1755,1947,20617,492284000,23877.57676
2014,Alaska,AK,81,Other services (except public administration),08:  <500,1641,1735,9478,314322000,33163.3256
2014,Alaska,AK,--,Total,08:  <500,16224,17737,142761,7152073000,50098.22711
2014,Alaska,AK,31-33,Manufacturing,08:  <500,429,441,4427,224197000,50643.09916
2014,Alaska,AK,44-45,Retail trade,08:  <500,1746,1996,15039,515545000,34280.53727
2014,Alaska,AK,48-49,Transportation and warehousing,08:  <500,796,900,6764,389734000,57618.86458
2014,Arizona,AZ,11,"Agriculture, forestry, fishing and hunting",08:  <500,187,189,1270,42931000,33803.93701
2014,Arizona,AZ,21,"Mining, quarrying, and oil and gas extraction",08:  <500,162,169,2227,144261000,64778.17692
2014,Arizona,AZ,22,Utilities,08:  <500,134,176,2477,165025000,66622.93096
2014,Arizona,AZ,23,Construction,08:  <500,11151,11197,103969,4435444000,42661.21632
2014,Arizona,AZ,42,Wholesale trade,08:  <500,4861,5177,47312,2443875000,51654.44285
2014,Arizona,AZ,51,Information,08:  <500,1119,1186,13341,822793000,61674.01244
2014,Arizona,AZ,52,Finance and insurance,08:  <500,4644,5048,27820,1696217000,60971.13587
2014,Arizona,AZ,53,Real estate and rental and leasing,08:  <500,6586,7031,27058,1258864000,46524.65075
2014,Arizona,AZ,54,"Professional, scientific, and technical services",08:  <500,15090,15400,78299,4788054000,61150.89592
2014,Arizona,AZ,55,Management of companies and enterprises,08:  <500,354,370,7662,520447000,67925.73741
2014,Arizona,AZ,56,Administrative and support and waste management and remediation services,08:  <500,6741,6847,80144,2479170000,30933.9439
2014,Arizona,AZ,61,Educational services,08:  <500,1704,1776,28667,869707000,30338.26351
2014,Arizona,AZ,62,Health care and social assistance,08:  <500,13069,14503,152300,6658541000,43719.90151
2014,Arizona,AZ,71,"Arts, entertainment, and recreation",08:  <500,1524,1601,28007,998897000,35665.97636
2014,Arizona,AZ,72,Accommodation and food services,08:  <500,8007,9100,148579,2284336000,15374.55495
2014,Arizona,AZ,81,Other services (except public administration),08:  <500,9607,10148,72423,1967669000,27169.11755
2014,Arizona,AZ,--,Total,08:  <500,100199,107276,995671,38021927000,38187.23956
2014,Arizona,AZ,31-33,Manufacturing,08:  <500,3726,3803,63681,2772890000,43543.4431
2014,Arizona,AZ,44-45,Retail trade,08:  <500,9434,10780,85942,2808142000,32674.85048
2014,Arizona,AZ,48-49,Transportation and warehousing,08:  <500,2453,2539,24244,859063000,35434.04554
2014,Arkansas,AR,11,"Agriculture, forestry, fishing and hunting",08:  <500,610,613,4158,149853000,36039.68254
2014,Arkansas,AR,21,"Mining, quarrying, and oil and gas extraction",08:  <500,303,307,3582,198293000,55358.17979
2014,Arkansas,AR,22,Utilities,08:  <500,124,163,2538,153639000,60535.46099
2014,Arkansas,AR,23,Construction,08:  <500,5036,5057,37264,1512829000,40597.6009
2014,Arkansas,AR,42,Wholesale trade,08:  <500,2344,2630,27799,1355398000,48757.07759
2014,Arkansas,AR,51,Information,08:  <500,417,460,5107,221798000,43430.19385
2014,Arkansas,AR,52,Finance and insurance,08:  <500,2258,2988,17117,834541000,48755.09727
2014,Arkansas,AR,53,Real estate and rental and leasing,08:  <500,2224,2461,9098,290574000,31938.22818
2014,Arkansas,AR,54,"Professional, scientific, and technical services",08:  <500,5263,5464,26340,1284109000,48751.29081
2014,Arkansas,AR,55,Management of companies and enterprises,08:  <500,179,191,3013,161351000,53551.60969
2014,Arkansas,AR,56,Administrative and support and waste management and remediation services,08:  <500,2128,2199,23538,654874000,27821.98997
2014,Arkansas,AR,61,Educational services,08:  <500,535,563,10293,239582000,23276.20713
2014,Arkansas,AR,62,Health care and social assistance,08:  <500,5699,6550,86418,3019164000,34936.74929
2014,Arkansas,AR,71,"Arts, entertainment, and recreation",08:  <500,775,788,7504,150514000,20057.83582
2014,Arkansas,AR,72,Accommodation and food services,08:  <500,4028,4572,67366,890179000,13214.06941
2014,Arkansas,AR,81,Other services (except public administration),08:  <500,6197,6387,38303,879546000,22962.84886
2014,Arkansas,AR,--,Total,08:  <500,48384,53029,481170,15689033000,32606.00827
2014,Arkansas,AR,31-33,Manufacturing,08:  <500,2035,2120,41002,1564192000,38149.16346
2014,Arkansas,AR,44-45,Retail trade,08:  <500,6605,7498,53672,1468351000,27357.85885
2014,Arkansas,AR,48-49,Transportation and warehousing,08:  <500,1853,1895,16894,657447000,38916.00568
2014,California,CA,11,"Agriculture, forestry, fishing and hunting",08:  <500,1795,1828,19631,782208000,39845.5504
2014,California,CA,21,"Mining, quarrying, and oil and gas extraction",08:  <500,572,594,9671,787364000,81414.95192
2014,California,CA,22,Utilities,08:  <500,472,529,4619,341226000,73874.4317
2014,California,CA,23,Construction,08:  <500,66386,66781,544687,29023788000,53285.25924
2014,California,CA,42,Wholesale trade,08:  <500,50402,53153,509066,30699204000,60304.95849
2014,California,CA,51,Information,08:  <500,15311,15917,164321,16615582000,101116.6071
2014,California,CA,52,Finance and insurance,08:  <500,27627,30877,196356,17997926000,91659.66917
2014,California,CA,53,Real estate and rental and leasing,08:  <500,40125,44065,197657,10226959000,51740.94011
2014,California,CA,54,"Professional, scientific, and technical services",08:  <500,110456,113069,670515,53767456000,80188.29706
2014,California,CA,55,Management of companies and enterprises,08:  <500,2046,2153,41984,3594069000,85605.68312
2014,California,CA,56,Administrative and support and waste management and remediation services,08:  <500,35526,36504,408145,15384700000,37694.20182
2014,California,CA,61,Educational services,08:  <500,11761,12496,208928,7150585000,34225.11583
2014,California,CA,62,Health care and social assistance,08:  <500,88791,96586,862889,36432570000,42221.61831
2014,California,CA,71,"Arts, entertainment, and recreation",08:  <500,21112,21473,163893,9979799000,60892.16135
2014,California,CA,72,Accommodation and food services,08:  <500,61647,68065,969294,17850131000,18415.60043
2014,California,CA,81,Other services (except public administration),08:  <500,65067,67700,461079,14115484000,30614.02493
2014,California,CA,--,Total,08:  <500,718558,764534,6806594,3.21742E+11,47269.09832
2014,California,CA,31-33,Manufacturing,08:  <500,34852,35556,617658,30183408000,48867.5092
2014,California,CA,44-45,Retail trade,08:  <500,68600,76128,585593,19646609000,33549.93827
2014,California,CA,48-49,Transportation and warehousing,08:  <500,17481,18394,167695,7079333000,42215.52819
2014,Colorado,CO,11,"Agriculture, forestry, fishing and hunting",08:  <500,306,306,1272,47031000,36974.0566
2014,Colorado,CO,21,"Mining, quarrying, and oil and gas extraction",08:  <500,1129,1151,13515,1378704000,102012.8746
2014,Colorado,CO,22,Utilities,08:  <500,195,230,2914,240520000,82539.46465
2014,Colorado,CO,23,Construction,08:  <500,16100,16162,110105,5679905000,51586.25857
2014,Colorado,CO,42,Wholesale trade,08:  <500,5399,5727,47574,2790328000,58652.37314
2014,Colorado,CO,51,Information,08:  <500,1696,1753,19083,1374085000,72005.71189
2014,Colorado,CO,52,Finance and insurance,08:  <500,5724,6285,31803,2223200000,69905.35484
2014,Colorado,CO,53,Real estate and rental and leasing,08:  <500,8407,8754,28577,1251055000,43778.38821
2014,Colorado,CO,54,"Professional, scientific, and technical services",08:  <500,22785,23056,105744,7562090000,71513.18278
2014,Colorado,CO,55,Management of companies and enterprises,08:  <500,407,422,8399,762364000,90768.42481
2014,Colorado,CO,56,Administrative and support and waste management and remediation services,08:  <500,7391,7500,69106,2605918000,37708.99777
2014,Colorado,CO,61,Educational services,08:  <500,2294,2341,29458,893837000,30342.75918
2014,Colorado,CO,62,Health care and social assistance,08:  <500,12435,13566,143024,5935049000,41496.87465
2014,Colorado,CO,71,"Arts, entertainment, and recreation",08:  <500,2459,2495,27709,920405000,33216.82486
2014,Colorado,CO,72,Accommodation and food services,08:  <500,9621,10682,160575,2827356000,17607.69734
2014,Colorado,CO,81,Other services (except public administration),08:  <500,12320,12741,83164,2558578000,30765.4514
2014,Colorado,CO,--,Total,08:  <500,127481,134011,1059196,45944212000,43376.49689
2014,Colorado,CO,31-33,Manufacturing,08:  <500,4489,4561,62083,2962002000,47710.35549
2014,Colorado,CO,44-45,Retail trade,08:  <500,11786,13038,93168,2992549000,32119.92315
2014,Colorado,CO,48-49,Transportation and warehousing,08:  <500,2873,2949,21610,932939000,43171.6335
2014,Connecticut,CT,11,"Agriculture, forestry, fishing and hunting",08:  <500,72,72,288,10480000,36388.88889
2014,Connecticut,CT,21,"Mining, quarrying, and oil and gas extraction",08:  <500,43,45,264,23392000,88606.06061
2014,Connecticut,CT,22,Utilities,08:  <500,45,56,1049,113996000,108671.1153
2014,Connecticut,CT,23,Construction,08:  <500,7755,7767,45215,2948953000,65220.67898
2014,Connecticut,CT,42,Wholesale trade,08:  <500,3386,3508,40350,2905548000,72008.62454
2014,Connecticut,CT,51,Information,08:  <500,917,953,13079,844677000,64582.68981
2014,Connecticut,CT,52,Finance and insurance,08:  <500,3212,3788,31390,4747101000,151229.7228
2014,Connecticut,CT,53,Real estate and rental and leasing,08:  <500,2333,2578,12334,643897000,52205.04297
2014,Connecticut,CT,54,"Professional, scientific, and technical services",08:  <500,8272,8408,54455,4125007000,75750.74832
2014,Connecticut,CT,55,Management of companies and enterprises,08:  <500,250,267,4807,386935000,80494.07115
2014,Connecticut,CT,56,Administrative and support and waste management and remediation services,08:  <500,4509,4561,39546,1650567000,41737.90017
2014,Connecticut,CT,61,Educational services,08:  <500,1285,1315,23947,981060000,40967.97094
