STATE DESCRIPTION,NAICS CODE,NAICS DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,EMPLOYMENT,"ANNUAL PAYROLL ($1,000)",YEAR
Alabama,11,"Agriculture, forestry, fishing and hunting",8:   <500,6077,189340,2008
Alabama,11,"Agriculture, forestry, fishing and hunting",9:   500+,351,19115,2008
Alabama,21,"Mining, quarrying, and oil and gas extraction",8:   <500,2928,149140,2008
Alabama,21,"Mining, quarrying, and oil and gas extraction",9:   500+,4744,327408,2008
Alabama,22,Utilities,8:   <500,1891,102295,2008
Alabama,22,Utilities,9:   500+,0,1203604,2008
Alabama,23,Construction,8:   <500,93263,3430552,2008
Alabama,23,Construction,9:   500+,19199,942594,2008
Alabama,42,Wholesale trade,8:   <500,49628,2227602,2008
Alabama,42,Wholesale trade,9:   500+,30084,1494823,2008
Alabama,51,Information,8:   <500,10757,436300,2008
Alabama,51,Information,9:   500+,27658,1371341,2008
Alabama,52,Finance and insurance,8:   <500,27093,1144063,2008
Alabama,52,Finance and insurance,9:   500+,46252,3143090,2008
Alabama,53,Real estate and rental and leasing,8:   <500,18866,581061,2008
Alabama,53,Real estate and rental and leasing,9:   500+,8296,246106,2008
Alabama,54,"Professional, scientific, and technical services",8:   <500,61304,3228483,2008
Alabama,54,"Professional, scientific, and technical services",9:   500+,34246,2201617,2008
Alabama,55,Management of companies and enterprises,8:   <500,4531,238859,2008
Alabama,55,Management of companies and enterprises,9:   500+,13601,1060866,2008
Alabama,56,Administrative and support and waste management and remediation services,8:   <500,45741,1128602,2008
Alabama,56,Administrative and support and waste management and remediation services,9:   500+,86544,1960505,2008
Alabama,61,Educational services,8:   <500,14189,307116,2008
Alabama,61,Educational services,9:   500+,13395,424874,2008
Alabama,62,Health care and social assistance,8:   <500,115656,4527733,2008
Alabama,62,Health care and social assistance,9:   500+,123594,4753714,2008
Alabama,71,"Arts, entertainment, and recreation",8:   <500,13242,234939,2008
Alabama,71,"Arts, entertainment, and recreation",9:   500+,4751,79158,2008
Alabama,72,Accommodation and food services,8:   <500,87643,1007346,2008
Alabama,72,Accommodation and food services,9:   500+,71916,891633,2008
Alabama,81,Other services (except public administration),8:   <500,71799,1412082,2008
Alabama,81,Other services (except public administration),9:   500+,10188,315382,2008
Alabama,99,Industries not classified,8:   <500,155,2493,2008
Alabama,31-33,Manufacturing,8:   <500,94975,3360886,2008
Alabama,31-33,Manufacturing,9:   500+,183633,8213256,2008
Alabama,44-45,Retail trade,8:   <500,101594,2431763,2008
Alabama,44-45,Retail trade,9:   500+,142159,2814714,2008
Alabama,48-49,Transportation and warehousing,8:   <500,24961,818360,2008
Alabama,48-49,Transportation and warehousing,9:   500+,34812,1404510,2008
Alaska,11,"Agriculture, forestry, fishing and hunting",8:   <500,552,30375,2008
Alaska,11,"Agriculture, forestry, fishing and hunting",9:   500+,0,0,2008
Alaska,21,"Mining, quarrying, and oil and gas extraction",8:   <500,1402,150651,2008
Alaska,21,"Mining, quarrying, and oil and gas extraction",9:   500+,7401,782318,2008
Alaska,22,Utilities,8:   <500,1567,121315,2008
Alaska,22,Utilities,9:   500+,0,0,2008
Alaska,23,Construction,8:   <500,13429,996093,2008
Alaska,23,Construction,9:   500+,4332,479926,2008
Alaska,42,Wholesale trade,8:   <500,4721,233837,2008
Alaska,42,Wholesale trade,9:   500+,4236,235464,2008
Alaska,51,Information,8:   <500,2481,111686,2008
Alaska,51,Information,9:   500+,4263,272659,2008
Alaska,52,Finance and insurance,8:   <500,3430,203152,2008
Alaska,52,Finance and insurance,9:   500+,4805,270286,2008
Alaska,53,Real estate and rental and leasing,8:   <500,3811,145446,2008
Alaska,53,Real estate and rental and leasing,9:   500+,0,40719,2008
Alaska,54,"Professional, scientific, and technical services",8:   <500,9408,592269,2008
Alaska,54,"Professional, scientific, and technical services",9:   500+,4044,275533,2008
Alaska,55,Management of companies and enterprises,8:   <500,1038,63153,2008
Alaska,55,Management of companies and enterprises,9:   500+,4694,524403,2008
Alaska,56,Administrative and support and waste management and remediation services,8:   <500,7185,309431,2008
Alaska,56,Administrative and support and waste management and remediation services,9:   500+,15134,718222,2008
Alaska,61,Educational services,8:   <500,2704,68758,2008
Alaska,61,Educational services,9:   500+,160,3528,2008
Alaska,62,Health care and social assistance,8:   <500,23217,1002018,2008
Alaska,62,Health care and social assistance,9:   500+,15978,845049,2008
Alaska,71,"Arts, entertainment, and recreation",8:   <500,2793,66896,2008
Alaska,71,"Arts, entertainment, and recreation",9:   500+,0,0,2008
Alaska,72,Accommodation and food services,8:   <500,18389,377677,2008
Alaska,72,Accommodation and food services,9:   500+,6504,195212,2008
Alaska,81,Other services (except public administration),8:   <500,9599,277251,2008
Alaska,81,Other services (except public administration),9:   500+,639,23235,2008
Alaska,99,Industries not classified,8:   <500,0,850,2008
Alaska,31-33,Manufacturing,8:   <500,4506,184921,2008
Alaska,31-33,Manufacturing,9:   500+,7522,311376,2008
Alaska,44-45,Retail trade,8:   <500,15984,486807,2008
Alaska,44-45,Retail trade,9:   500+,18720,484022,2008
Alaska,48-49,Transportation and warehousing,8:   <500,6774,317314,2008
Alaska,48-49,Transportation and warehousing,9:   500+,13182,864338,2008
Arizona,11,"Agriculture, forestry, fishing and hunting",8:   <500,1298,35140,2008
Arizona,11,"Agriculture, forestry, fishing and hunting",9:   500+,0,0,2008
Arizona,21,"Mining, quarrying, and oil and gas extraction",8:   <500,2168,108729,2008
Arizona,21,"Mining, quarrying, and oil and gas extraction",9:   500+,8807,650150,2008
Arizona,22,Utilities,8:   <500,2348,149812,2008
Arizona,22,Utilities,9:   500+,0,0,2008
Arizona,23,Construction,8:   <500,162607,5861424,2008
Arizona,23,Construction,9:   500+,45649,2482880,2008
Arizona,42,Wholesale trade,8:   <500,52464,2393142,2008
Arizona,42,Wholesale trade,9:   500+,48076,2902036,2008
Arizona,51,Information,8:   <500,14479,779037,2008
Arizona,51,Information,9:   500+,39987,2405481,2008
Arizona,52,Finance and insurance,8:   <500,30748,1462516,2008
Arizona,52,Finance and insurance,9:   500+,107881,6039063,2008
Arizona,53,Real estate and rental and leasing,8:   <500,29943,1119364,2008
Arizona,53,Real estate and rental and leasing,9:   500+,20868,808030,2008
Arizona,54,"Professional, scientific, and technical services",8:   <500,84481,4504838,2008
Arizona,54,"Professional, scientific, and technical services",9:   500+,42459,2770381,2008
Arizona,55,Management of companies and enterprises,8:   <500,6235,360069,2008
Arizona,55,Management of companies and enterprises,9:   500+,44755,3730579,2008
Arizona,56,Administrative and support and waste management and remediation services,8:   <500,96990,2568359,2008
Arizona,56,Administrative and support and waste management and remediation services,9:   500+,155520,5950285,2008
Arizona,61,Educational services,8:   <500,25802,751194,2008
Arizona,61,Educational services,9:   500+,22250,943063,2008
Arizona,62,Health care and social assistance,8:   <500,138242,6025667,2008
Arizona,62,Health care and social assistance,9:   500+,149158,6726743,2008
Arizona,71,"Arts, entertainment, and recreation",8:   <500,27055,862033,2008
Arizona,71,"Arts, entertainment, and recreation",9:   500+,19613,566082,2008
Arizona,72,Accommodation and food services,8:   <500,140409,1883873,2008
Arizona,72,Accommodation and food services,9:   500+,119112,2075716,2008
Arizona,81,Other services (except public administration),8:   <500,75706,1806883,2008
Arizona,81,Other services (except public administration),9:   500+,15906,431506,2008
Arizona,99,Industries not classified,8:   <500,194,3476,2008
Arizona,31-33,Manufacturing,8:   <500,75024,2868790,2008
Arizona,31-33,Manufacturing,9:   500+,90886,5827592,2008
Arizona,44-45,Retail trade,8:   <500,103515,2815980,2008
Arizona,44-45,Retail trade,9:   500+,239965,5074598,2008
Arizona,48-49,Transportation and warehousing,8:   <500,24559,776346,2008
Arizona,48-49,Transportation and warehousing,9:   500+,57691,2385290,2008
Arkansas,11,"Agriculture, forestry, fishing and hunting",8:   <500,4323,124679,2008
Arkansas,11,"Agriculture, forestry, fishing and hunting",9:   500+,1089,35500,2008
Arkansas,21,"Mining, quarrying, and oil and gas extraction",8:   <500,3782,218225,2008
Arkansas,21,"Mining, quarrying, and oil and gas extraction",9:   500+,3520,241689,2008
Arkansas,22,Utilities,8:   <500,2837,153959,2008
Arkansas,22,Utilities,9:   500+,0,0,2008
Arkansas,23,Construction,8:   <500,45976,1594089,2008
Arkansas,23,Construction,9:   500+,5698,288060,2008
Arkansas,42,Wholesale trade,8:   <500,29513,1218726,2008
Arkansas,42,Wholesale trade,9:   500+,17535,821433,2008
Arkansas,51,Information,8:   <500,5767,201377,2008
Arkansas,51,Information,9:   500+,19504,1054588,2008
Arkansas,52,Finance and insurance,8:   <500,17743,672508,2008
Arkansas,52,Finance and insurance,9:   500+,20604,1102144,2008
Arkansas,53,Real estate and rental and leasing,8:   <500,9702,253415,2008
Arkansas,53,Real estate and rental and leasing,9:   500+,4092,111528,2008
Arkansas,54,"Professional, scientific, and technical services",8:   <500,26892,1090818,2008
Arkansas,54,"Professional, scientific, and technical services",9:   500+,7595,419887,2008
Arkansas,55,Management of companies and enterprises,8:   <500,2965,173229,2008
Arkansas,55,Management of companies and enterprises,9:   500+,30743,2353327,2008
Arkansas,56,Administrative and support and waste management and remediation services,8:   <500,23914,532385,2008
Arkansas,56,Administrative and support and waste management and remediation services,9:   500+,35398,849499,2008
Arkansas,61,Educational services,8:   <500,8473,178136,2008
Arkansas,61,Educational services,9:   500+,5533,81185,2008
Arkansas,62,Health care and social assistance,8:   <500,82546,2721021,2008
Arkansas,62,Health care and social assistance,9:   500+,80161,3200717,2008
Arkansas,71,"Arts, entertainment, and recreation",8:   <500,7320,126117,2008
Arkansas,71,"Arts, entertainment, and recreation",9:   500+,1163,24104,2008
Arkansas,72,Accommodation and food services,8:   <500,63975,707797,2008
Arkansas,72,Accommodation and food services,9:   500+,29583,367188,2008
Arkansas,81,Other services (except public administration),8:   <500,39472,783887,2008
Arkansas,81,Other services (except public administration),9:   500+,3492,120538,2008
Arkansas,99,Industries not classified,8:   <500,114,2249,2008
Arkansas,31-33,Manufacturing,8:   <500,49795,1633338,2008
Arkansas,31-33,Manufacturing,9:   500+,133699,4841175,2008
Arkansas,44-45,Retail trade,8:   <500,60325,1394521,2008
Arkansas,44-45,Retail trade,9:   500+,81426,1629884,2008
Arkansas,48-49,Transportation and warehousing,8:   <500,16638,529752,2008
Arkansas,48-49,Transportation and warehousing,9:   500+,38295,1547739,2008
California,11,"Agriculture, forestry, fishing and hunting",8:   <500,19620,731528,2008
California,11,"Agriculture, forestry, fishing and hunting",9:   500+,6959,161209,2008
California,21,"Mining, quarrying, and oil and gas extraction",8:   <500,8912,639836,2008
California,21,"Mining, quarrying, and oil and gas extraction",9:   500+,13786,1307690,2008
California,22,Utilities,8:   <500,4230,273570,2008
California,22,Utilities,9:   500+,0,0,2008
California,23,Construction,8:   <500,716408,33504418,2008
California,23,Construction,9:   500+,124708,8370648,2008
California,42,Wholesale trade,8:   <500,548747,29098172,2008
California,42,Wholesale trade,9:   500+,338909,29216280,2008
California,51,Information,8:   <500,153561,12131459,2008
California,51,Information,9:   500+,403276,35474886,2008
California,52,Finance and insurance,8:   <500,212404,16298825,2008
California,52,Finance and insurance,9:   500+,455491,41150190,2008
California,53,Real estate and rental and leasing,8:   <500,207439,8837304,2008
California,53,Real estate and rental and leasing,9:   500+,97531,5034362,2008
California,54,"Professional, scientific, and technical services",8:   <500,661372,45746090,2008
California,54,"Professional, scientific, and technical services",9:   500+,527787,42108183,2008
California,55,Management of companies and enterprises,8:   <500,42268,2965192,2008
California,55,Management of companies and enterprises,9:   500+,217413,23359500,2008
California,56,Administrative and support and waste management and remediation services,8:   <500,450509,14537823,2008
California,56,Administrative and support and waste management and remediation services,9:   500+,680096,22715043,2008
California,61,Educational services,8:   <500,177203,5547494,2008
California,61,Educational services,9:   500+,159273,5929939,2008
California,62,Health care and social assistance,8:   <500,795455,31476223,2008
California,62,Health care and social assistance,9:   500+,849651,46561167,2008
California,71,"Arts, entertainment, and recreation",8:   <500,164935,9128115,2008
California,71,"Arts, entertainment, and recreation",9:   500+,140272,4075400,2008
California,72,Accommodation and food services,8:   <500,847353,13581804,2008
California,72,Accommodation and food services,9:   500+,562065,10682982,2008
California,81,Other services (except public administration),8:   <500,460677,12746181,2008
California,81,Other services (except public administration),9:   500+,117150,3384057,2008
California,99,Industries not classified,8:   <500,1864,46886,2008
California,31-33,Manufacturing,8:   <500,746693,32247926,2008
California,31-33,Manufacturing,9:   500+,637225,42171307,2008
California,44-45,Retail trade,8:   <500,642735,18755997,2008
California,44-45,Retail trade,9:   500+,1026012,25125097,2008
California,48-49,Transportation and warehousing,8:   <500,171564,6611016,2008
California,48-49,Transportation and warehousing,9:   500+,297352,13052337,2008
Colorado,11,"Agriculture, forestry, fishing and hunting",8:   <500,1436,42031,2008
Colorado,11,"Agriculture, forestry, fishing and hunting",9:   500+,0,0,2008
Colorado,21,"Mining, quarrying, and oil and gas extraction",8:   <500,11132,1058740,2008
Colorado,21,"Mining, quarrying, and oil and gas extraction",9:   500+,14746,1333735,2008
Colorado,22,Utilities,8:   <500,2593,166795,2008
Colorado,22,Utilities,9:   500+,0,0,2008
Colorado,23,Construction,8:   <500,134740,5838035,2008
Colorado,23,Construction,9:   500+,37779,2090292,2008
Colorado,42,Wholesale trade,8:   <500,52014,2661443,2008
Colorado,42,Wholesale trade,9:   500+,53054,3767364,2008
Colorado,51,Information,8:   <500,20152,1117763,2008
Colorado,51,Information,9:   500+,62832,4482135,2008
Colorado,52,Finance and insurance,8:   <500,35927,2002896,2008
Colorado,52,Finance and insurance,9:   500+,71526,5275131,2008
Colorado,53,Real estate and rental and leasing,8:   <500,31021,1139707,2008
Colorado,53,Real estate and rental and leasing,9:   500+,32443,1335511,2008
Colorado,54,"Professional, scientific, and technical services",8:   <500,103409,6416297,2008
Colorado,54,"Professional, scientific, and technical services",9:   500+,61100,4802602,2008
Colorado,55,Management of companies and enterprises,8:   <500,6094,591519,2008
Colorado,55,Management of companies and enterprises,9:   500+,35156,3259153,2008
Colorado,56,Administrative and support and waste management and remediation services,8:   <500,71016,2309544,2008
Colorado,56,Administrative and support and waste management and remediation services,9:   500+,135604,5418506,2008
Colorado,61,Educational services,8:   <500,24410,690703,2008
Colorado,61,Educational services,9:   500+,18052,478153,2008
Colorado,62,Health care and social assistance,8:   <500,129585,5057750,2008
Colorado,62,Health care and social assistance,9:   500+,116041,5271505,2008
Colorado,71,"Arts, entertainment, and recreation",8:   <500,26666,778979,2008
Colorado,71,"Arts, entertainment, and recreation",9:   500+,23142,499361,2008
Colorado,72,Accommodation and food services,8:   <500,140757,2082639,2008
Colorado,72,Accommodation and food services,9:   500+,97193,1659151,2008
Colorado,81,Other services (except public administration),8:   <500,79821,2131249,2008
Colorado,81,Other services (except public administration),9:   500+,18714,589222,2008
Colorado,99,Industries not classified,8:   <500,168,4028,2008
Colorado,31-33,Manufacturing,8:   <500,66036,2768192,2008
Colorado,31-33,Manufacturing,9:   500+,73391,4350093,2008
Colorado,44-45,Retail trade,8:   <500,96444,2762632,2008
Colorado,44-45,Retail trade,9:   500+,165116,3878474,2008
Colorado,48-49,Transportation and warehousing,8:   <500,21248,766889,2008
Colorado,48-49,Transportation and warehousing,9:   500+,43470,1786855,2008
Connecticut,11,"Agriculture, forestry, fishing and hunting",8:   <500,350,9992,2008
Connecticut,11,"Agriculture, forestry, fishing and hunting",9:   500+,0,0,2008
Connecticut,21,"Mining, quarrying, and oil and gas extraction",8:   <500,522,41762,2008
Connecticut,21,"Mining, quarrying, and oil and gas extraction",9:   500+,354,19222,2008
Connecticut,22,Utilities,8:   <500,1915,188223,2008
Connecticut,22,Utilities,9:   500+,0,0,2008
Connecticut,23,Construction,8:   <500,58399,3283623,2008
Connecticut,23,Construction,9:   500+,3627,289803,2008
Connecticut,42,Wholesale trade,8:   <500,43689,2780010,2008
Connecticut,42,Wholesale trade,9:   500+,34690,2782617,2008
Connecticut,51,Information,8:   <500,13219,749913,2008
Connecticut,51,Information,9:   500+,27026,1890114,2008
Connecticut,52,Finance and insurance,8:   <500,35040,5688262,2008
Connecticut,52,Finance and insurance,9:   500+,93857,10839398,2008
Connecticut,53,Real estate and rental and leasing,8:   <500,14245,636027,2008
Connecticut,53,Real estate and rental and leasing,9:   500+,8012,418771,2008
Connecticut,54,"Professional, scientific, and technical services",8:   <500,59296,4276195,2008
Connecticut,54,"Professional, scientific, and technical services",9:   500+,40236,3133717,2008
Connecticut,55,Management of companies and enterprises,8:   <500,5119,392287,2008
Connecticut,55,Management of companies and enterprises,9:   500+,32926,4027771,2008
Connecticut,56,Administrative and support and waste management and remediation services,8:   <500,45022,1874849,2008
Connecticut,56,Administrative and support and waste management and remediation services,9:   500+,58751,1849969,2008
Connecticut,61,Educational services,8:   <500,23545,842542,2008
Connecticut,61,Educational services,9:   500+,40701,1761207,2008
Connecticut,62,Health care and social assistance,8:   <500,133077,5410726,2008
Connecticut,62,Health care and social assistance,9:   500+,126516,5817905,2008
Connecticut,71,"Arts, entertainment, and recreation",8:   <500,20705,562326,2008
Connecticut,71,"Arts, entertainment, and recreation",9:   500+,3661,196561,2008
Connecticut,72,Accommodation and food services,8:   <500,83040,1297455,2008
Connecticut,72,Accommodation and food services,9:   500+,54569,1202279,2008
Connecticut,81,Other services (except public administration),8:   <500,57311,1595941,2008
Connecticut,81,Other services (except public administration),9:   500+,8691,256320,2008
Connecticut,99,Industries not classified,8:   <500,0,4122,2008
Connecticut,31-33,Manufacturing,8:   <500,91351,4585478,2008
Connecticut,31-33,Manufacturing,9:   500+,86888,5927596,2008
Connecticut,44-45,Retail trade,8:   <500,78760,2582631,2008
Connecticut,44-45,Retail trade,9:   500+,113865,2593293,2008
Connecticut,48-49,Transportation and warehousing,8:   <500,15061,723694,2008
Connecticut,48-49,Transportation and warehousing,9:   500+,29051,1070657,2008
Delaware,11,"Agriculture, forestry, fishing and hunting",8:   <500,108,3646,2008
Delaware,11,"Agriculture, forestry, fishing and hunting",9:   500+,0,0,2008
Delaware,21,"Mining, quarrying, and oil and gas extraction",8:   <500,162,15770,2008
Delaware,21,"Mining, quarrying, and oil and gas extraction",9:   500+,0,0,2008
Delaware,22,Utilities,8:   <500,0,0,2008
Delaware,22,Utilities,9:   500+,0,0,2008
Delaware,23,Construction,8:   <500,22086,1024067,2008
Delaware,23,Construction,9:   500+,2013,129499,2008
Delaware,42,Wholesale trade,8:   <500,6907,357217,2008
Delaware,42,Wholesale trade,9:   500+,12050,1086292,2008
Delaware,51,Information,8:   <500,2151,99047,2008
Delaware,51,Information,9:   500+,4942,249596,2008
Delaware,52,Finance and insurance,8:   <500,6110,412687,2008
Delaware,52,Finance and insurance,9:   500+,35789,2581089,2008
Delaware,53,Real estate and rental and leasing,8:   <500,4447,184003,2008
Delaware,53,Real estate and rental and leasing,9:   500+,1745,49973,2008
Delaware,54,"Professional, scientific, and technical services",8:   <500,15589,1059672,2008
Delaware,54,"Professional, scientific, and technical services",9:   500+,8821,736813,2008
Delaware,55,Management of companies and enterprises,8:   <500,2452,104879,2008
Delaware,55,Management of companies and enterprises,9:   500+,10306,897919,2008
Delaware,56,Administrative and support and waste management and remediation services,8:   <500,12095,369960,2008
Delaware,56,Administrative and support and waste management and remediation services,9:   500+,17492,622856,2008
Delaware,61,Educational services,8:   <500,6040,185665,2008
Delaware,61,Educational services,9:   500+,972,43206,2008
Delaware,62,Health care and social assistance,8:   <500,25340,1079991,2008
Delaware,62,Health care and social assistance,9:   500+,31362,1427893,2008
Delaware,71,"Arts, entertainment, and recreation",8:   <500,4327,105307,2008
Delaware,71,"Arts, entertainment, and recreation",9:   500+,2570,41065,2008
Delaware,72,Accommodation and food services,8:   <500,22879,344823,2008
Delaware,72,Accommodation and food services,9:   500+,10664,174247,2008
Delaware,81,Other services (except public administration),8:   <500,14255,350011,2008
Delaware,81,Other services (except public administration),9:   500+,1612,45459,2008
Delaware,99,Industries not classified,8:   <500,39,1002,2008
Delaware,31-33,Manufacturing,8:   <500,9652,420762,2008
Delaware,31-33,Manufacturing,9:   500+,23304,1372042,2008
Delaware,44-45,Retail trade,8:   <500,21779,620468,2008
Delaware,44-45,Retail trade,9:   500+,33454,700769,2008
Delaware,48-49,Transportation and warehousing,8:   <500,5634,178789,2008
Delaware,48-49,Transportation and warehousing,9:   500+,7720,250446,2008
District of Columbia,11,"Agriculture, forestry, fishing and hunting",8:   <500,0,0,2008
District of Columbia,21,"Mining, quarrying, and oil and gas extraction",8:   <500,0,0,2008
District of Columbia,22,Utilities,8:   <500,2,474,2008
District of Columbia,22,Utilities,9:   500+,0,0,2008
District of Columbia,23,Construction,8:   <500,5714,317095,2008
District of Columbia,23,Construction,9:   500+,0,0,2008
District of Columbia,42,Wholesale trade,8:   <500,2350,168984,2008
District of Columbia,42,Wholesale trade,9:   500+,2811,190835,2008
District of Columbia,51,Information,8:   <500,5803,449899,2008
District of Columbia,51,Information,9:   500+,17361,1797799,2008
District of Columbia,52,Finance and insurance,8:   <500,4616,475663,2008
District of Columbia,52,Finance and insurance,9:   500+,12630,1862275,2008
District of Columbia,53,Real estate and rental and leasing,8:   <500,6391,377826,2008
District of Columbia,53,Real estate and rental and leasing,9:   500+,3624,267333,2008
District of Columbia,54,"Professional, scientific, and technical services",8:   <500,38353,3824404,2008
District of Columbia,54,"Professional, scientific, and technical services",9:   500+,51013,5990673,2008
District of Columbia,55,Management of companies and enterprises,8:   <500,1275,95889,2008
District of Columbia,55,Management of companies and enterprises,9:   500+,6663,734023,2008
District of Columbia,56,Administrative and support and waste management and remediation services,8:   <500,17391,660371,2008
District of Columbia,56,Administrative and support and waste management and remediation services,9:   500+,20561,705807,2008
District of Columbia,61,Educational services,8:   <500,13349,580132,2008
District of Columbia,61,Educational services,9:   500+,33510,1509422,2008
District of Columbia,62,Health care and social assistance,8:   <500,25312,1022125,2008
District of Columbia,62,Health care and social assistance,9:   500+,35928,2075125,2008
District of Columbia,71,"Arts, entertainment, and recreation",8:   <500,3949,138523,2008
District of Columbia,71,"Arts, entertainment, and recreation",9:   500+,3661,217261,2008
District of Columbia,72,Accommodation and food services,8:   <500,27124,605388,2008
District of Columbia,72,Accommodation and food services,9:   500+,26940,768417,2008
District of Columbia,81,Other services (except public administration),8:   <500,55883,3696001,2008
District of Columbia,81,Other services (except public administration),9:   500+,15333,743515,2008
District of Columbia,99,Industries not classified,8:   <500,0,1384,2008
District of Columbia,31-33,Manufacturing,8:   <500,1359,53848,2008
District of Columbia,31-33,Manufacturing,9:   500+,652,30553,2008
District of Columbia,44-45,Retail trade,8:   <500,8071,224981,2008
District of Columbia,44-45,Retail trade,9:   500+,11991,296230,2008
District of Columbia,48-49,Transportation and warehousing,8:   <500,1305,50888,2008
District of Columbia,48-49,Transportation and warehousing,9:   500+,1944,78415,2008
Florida,11,"Agriculture, forestry, fishing and hunting",8:   <500,9253,233383,2008
Florida,11,"Agriculture, forestry, fishing and hunting",9:   500+,5026,132196,2008
Florida,21,"Mining, quarrying, and oil and gas extraction",8:   <500,2150,102660,2008
Florida,21,"Mining, quarrying, and oil and gas extraction",9:   500+,4163,293365,2008
Florida,22,Utilities,8:   <500,5677,328708,2008
Florida,22,Utilities,9:   500+,21277,1697645,2008
Florida,23,Construction,8:   <500,373783,13915789,2008
Florida,23,Construction,9:   500+,61301,3087673,2008
Florida,42,Wholesale trade,8:   <500,197652,8777856,2008
Florida,42,Wholesale trade,9:   500+,120065,6437511,2008
Florida,51,Information,8:   <500,38803,1922209,2008
Florida,51,Information,9:   500+,124296,7365749,2008
Florida,52,Finance and insurance,8:   <500,116537,6159182,2008
Florida,52,Finance and insurance,9:   500+,270446,16774810,2008
Florida,53,Real estate and rental and leasing,8:   <500,95108,3213148,2008
Florida,53,Real estate and rental and leasing,9:   500+,79293,3144919,2008
Florida,54,"Professional, scientific, and technical services",8:   <500,304184,16716634,2008
Florida,54,"Professional, scientific, and technical services",9:   500+,133482,8747533,2008
Florida,55,Management of companies and enterprises,8:   <500,17413,1289613,2008
Florida,55,Management of companies and enterprises,9:   500+,130406,8948734,2008
Florida,56,Administrative and support and waste management and remediation services,8:   <500,231810,6651044,2008
Florida,56,Administrative and support and waste management and remediation services,9:   500+,1162546,36990368,2008
Florida,61,Educational services,8:   <500,74281,2085053,2008
Florida,61,Educational services,9:   500+,61625,2373430,2008
Florida,62,Health care and social assistance,8:   <500,428377,17811788,2008
Florida,62,Health care and social assistance,9:   500+,496498,21162707,2008
Florida,71,"Arts, entertainment, and recreation",8:   <500,86434,2677305,2008
Florida,71,"Arts, entertainment, and recreation",9:   500+,75660,1716174,2008
Florida,72,Accommodation and food services,8:   <500,383815,5525052,2008
Florida,72,Accommodation and food services,9:   500+,385508,6606093,2008
Florida,81,Other services (except public administration),8:   <500,251582,5780658,2008
Florida,81,Other services (except public administration),9:   500+,59143,1566170,2008
Florida,99,Industries not classified,8:   <500,735,14278,2008
Florida,31-33,Manufacturing,8:   <500,173794,6362107,2008
Florida,31-33,Manufacturing,9:   500+,167813,8467137,2008
Florida,44-45,Retail trade,8:   <500,300976,8220023,2008
Florida,44-45,Retail trade,9:   500+,694735,15442420,2008
Florida,48-49,Transportation and warehousing,8:   <500,68031,2384636,2008
Florida,48-49,Transportation and warehousing,9:   500+,152893,6303912,2008
Georgia,11,"Agriculture, forestry, fishing and hunting",8:   <500,7438,245192,2008
Georgia,11,"Agriculture, forestry, fishing and hunting",9:   500+,309,16767,2008
Georgia,21,"Mining, quarrying, and oil and gas extraction",8:   <500,2177,117559,2008
Georgia,21,"Mining, quarrying, and oil and gas extraction",9:   500+,3631,191749,2008
Georgia,22,Utilities,8:   <500,5851,354326,2008
Georgia,22,Utilities,9:   500+,0,0,2008
Georgia,23,Construction,8:   <500,173807,6737115,2008
Georgia,23,Construction,9:   500+,39855,2057203,2008
Georgia,42,Wholesale trade,8:   <500,112353,5475867,2008
Georgia,42,Wholesale trade,9:   500+,92777,6138581,2008
Georgia,51,Information,8:   <500,25033,1374902,2008
Georgia,51,Information,9:   500+,98899,6938534,2008
Georgia,52,Finance and insurance,8:   <500,62317,3162827,2008
Georgia,52,Finance and insurance,9:   500+,113251,8013245,2008
Georgia,53,Real estate and rental and leasing,8:   <500,38908,1549133,2008
Georgia,53,Real estate and rental and leasing,9:   500+,25113,1273007,2008
Georgia,54,"Professional, scientific, and technical services",8:   <500,144750,7951925,2008
Georgia,54,"Professional, scientific, and technical services",9:   500+,84744,5904706,2008
Georgia,55,Management of companies and enterprises,8:   <500,9885,627087,2008
Georgia,55,Management of companies and enterprises,9:   500+,105418,9445944,2008
Georgia,56,Administrative and support and waste management and remediation services,8:   <500,114753,3513291,2008
Georgia,56,Administrative and support and waste management and remediation services,9:   500+,233684,6359330,2008
Georgia,61,Educational services,8:   <500,37039,1010234,2008
Georgia,61,Educational services,9:   500+,38830,1628997,2008
Georgia,62,Health care and social assistance,8:   <500,198117,7992956,2008
Georgia,62,Health care and social assistance,9:   500+,228162,9520556,2008
Georgia,71,"Arts, entertainment, and recreation",8:   <500,30091,791014,2008
Georgia,71,"Arts, entertainment, and recreation",9:   500+,13034,468105,2008
Georgia,72,Accommodation and food services,8:   <500,210464,2635662,2008
Georgia,72,Accommodation and food services,9:   500+,160095,2386319,2008
Georgia,81,Other services (except public administration),8:   <500,136434,3176762,2008
Georgia,81,Other services (except public administration),9:   500+,30495,989306,2008
Georgia,99,Industries not classified,8:   <500,0,6245,2008
Georgia,31-33,Manufacturing,8:   <500,140299,5082635,2008
Georgia,31-33,Manufacturing,9:   500+,257631,10769835,2008
Georgia,44-45,Retail trade,8:   <500,162935,4283628,2008
Georgia,44-45,Retail trade,9:   500+,313026,6357297,2008
Georgia,48-49,Transportation and warehousing,8:   <500,41227,1374648,2008
Georgia,48-49,Transportation and warehousing,9:   500+,121786,5252008,2008
